SampleId,Ad,Std,DI,CSR,CRI,gasRate,cokeRate
cb8047,12.09,0.70,88.46,70.89,22.30,313.13,75.08
ca8041,12.18,0.69,88.31,71.56,22.46,316.60,74.78
cb8032,12.10,0.64,88.12,70.88,22.57,316.32,74.80
ca8047,12.09,0.70,88.46,70.89,22.30,313.13,75.08
ca8044,12.06,0.69,88.20,71.38,22.39,310.04,75.36
ca8033,12.18,0.64,88.04,71.29,22.31,316.22,74.81
cb8051,12.15,0.66,88.15,70.56,22.92,307.98,75.54
cc8061,12.13,0.73,88.16,70.71,22.93,329.81,73.60
cc8038,12.18,0.71,88.17,69.48,23.69,331.31,73.47
ca8055,12.02,0.63,88.53,70.48,22.90,312.66,75.13
ca8074,12.04,0.69,88.35,71.00,22.52,309.29,75.43
cb8074,12.04,0.69,88.35,71.00,22.52,309.29,75.43
cc8053,11.72,0.68,88.58,70.85,22.66,326.62,73.88
ca8032,12.10,0.64,88.12,70.88,22.57,316.32,74.80
cb8072,12.17,0.69,88.30,70.88,22.71,306.29,75.69
cb8037,11.99,0.71,88.45,71.22,22.71,315.57,74.87
cc8049,12.05,0.71,88.59,70.84,22.73,312.57,75.13
ca8034,12.05,0.67,88.21,71.56,22.01,309.01,75.45
cd8025,12.12,0.70,88.20,70.04,23.42,311.16,75.26
cd8058,12.14,0.68,88.51,71.23,21.86,318.10,74.64
cc8025,11.75,0.68,88.58,70.39,23.51,317.82,74.67
ca8064,12.01,0.75,88.30,71.48,22.71,311.91,75.19
cc8026,11.90,0.66,88.51,70.78,23.63,321.00,74.38
cb8063,12.05,0.68,88.53,71.60,21.53,321.66,74.33
cc8045,11.97,0.63,88.87,71.40,22.53,321.85,74.31
cc8039,11.89,0.70,88.67,70.65,22.79,325.87,73.95
cd8023,11.99,0.70,88.47,70.26,23.05,309.57,75.40
cd8037,12.05,0.69,88.65,71.25,21.91,316.97,74.74
cd8024,12.07,0.70,88.49,70.36,23.01,310.60,75.31
cb8057,12.02,0.68,88.00,69.55,22.92,309.76,75.38
cd8041,11.78,0.71,88.15,71.38,22.01,308.73,75.48
cb8060,12.07,0.67,88.60,71.37,21.64,318.19,74.63
cb8056,12.05,0.65,88.53,70.65,22.80,308.82,75.47
cb8030,11.92,0.65,88.10,71.44,22.87,311.35,75.24
cd8067,12.21,0.68,88.30,71.39,22.80,317.91,74.66
cd8045,12.08,0.63,88.31,71.47,22.34,310.69,75.30
cd8027,11.96,0.67,88.40,70.56,22.75,311.26,75.25
cb8041,12.18,0.69,88.31,71.56,22.46,316.60,74.78
ca8026,12.12,0.67,88.39,70.80,22.92,315.29,74.89
cd8033,11.88,0.69,88.42,70.81,22.66,313.13,75.08
cd8035,11.57,0.69,88.12,70.68,22.55,309.38,75.42
cab075,12.18,0.68,88.36,71.02,22.56,312.48,75.14
cc8037,12.11,0.70,88.35,70.01,23.25,332.62,73.35
ca8068,12.12,0.69,88.35,71.24,22.96,325.78,73.96
ca8040,12.04,0.68,88.44,71.59,22.75,321.10,74.38
cb8024,12.05,0.67,88.21,71.56,22.01,309.01,75.45
cb8040,12.04,0.68,88.44,71.59,22.75,321.10,74.38
ca8053,12.17,0.67,88.16,70.82,22.86,316.69,74.77
ca8037,11.99,0.71,88.45,71.22,22.71,315.57,74.87
